Brand           Model		Colour	MegaPixel	Price
Panasonic	Lumix		Black	12		349
Samsung		ES71		Black	12		399
Fujifilm	FinePix		Silver	14		454
Sony		DSCW320B	Red	14		399
Canon		PowerShot	Black	10		299
Kodak		EasyShare	Silver	12		349
Nikon		L22		Silver	12		349
Canon		IXUS		Black	16		549
Sony		DSCW320A	Blue	12		349
FujiFilm	GladPix		Black	8		159
Sony		DSCW320D	Red	18		799
Canon		SimpleShot	Black	8		99
Pentax		Optio		Silver	14		499
Casio		Exilim		Black	12		124
Sony		DSCW32OG	Green	12		111
Vivitar		X024		Pink	10		39
